Model,Budget,Log Loss,Binary Err Rate,Specificity,Sensitivity,F1,Roc Auc
adv-boosting [B=20],0,0.44773473818180165,0.19907763259031513,0.7071129707112971,0.8554070473876063,0.7838128630958301,0.8630533256734978
adv-boosting [B=30],0,0.4514213018030503,0.19369715603382015,0.7133891213389121,0.8602673147023087,0.7895567913977171,0.8630126539804879
adv-boosting [B=40],0,0.4479435778624973,0.1975403535741737,0.702928870292887,0.8602673147023087,0.784871095863705,0.862580517242256
non-interferent [B=20],0,0.5020038263108832,0.24135280553420446,0.608786610878661,0.8456865127582017,0.7327486497236644,0.8274096707118055
non-interferent [B=20],0,0.5061524061567192,0.2482705611068409,0.5774058577405857,0.8529769137302552,0.7219138059392836,0.8248956516876211
non-interferent [B=20],0,0.4546884705430598,0.21060722521137587,0.6548117154811716,0.8675577156743621,0.7672842407625016,0.8555239785050103
non-interferent [B=20],0,0.4564788565353795,0.2167563412759416,0.6150627615062761,0.8809234507897934,0.7565222585012343,0.856861060412716
non-interferent [B=20],0,0.443336657535159,0.19446579554189086,0.698744769874477,0.8675577156743621,0.7873964685463968,0.8669933959338475
non-interferent [B=20],0,0.4507254476276799,0.19446579554189086,0.6820083682008368,0.8772782503037667,0.7856776827485619,0.8630431577502453
non-interferent [B=30],0,0.5018561234109439,0.24058416602613375,0.606694560669456,0.8481166464155528,0.7331740204188747,0.8276994565245023
non-interferent [B=30],0,0.506369438199594,0.24980784012298232,0.5732217573221757,0.8529769137302552,0.7198752895985668,0.824499102680773
non-interferent [B=30],0,0.44907250324112347,0.202152190622598,0.6673640167364017,0.8736330498177399,0.7767435881876626,0.8597919642902535
non-interferent [B=30],0,0.45369960024304345,0.21137586471944658,0.6255230125523012,0.8833535844471446,0.7629713988910951,0.8574482579805487
non-interferent [B=30],0,0.45309065247410707,0.19907763259031513,0.6506276150627615,0.8882138517618469,0.7777609960684632,0.8590420799503805
non-interferent [B=30],0,0.4457465777106174,0.19907763259031513,0.6820083682008368,0.8699878493317132,0.7812666139132658,0.8658850922993234
non-interferent [B=40],0,0.5010633437570198,0.23904688700999233,0.608786610878661,0.8493317132442284,0.7348789787548562,0.8289539240557813
non-interferent [B=40],0,0.5061082176624867,0.2482705611068409,0.5753138075313807,0.8541919805589308,0.721599133970268,0.824805411368755
non-interferent [B=40],0,0.45499710151818723,0.2121445042275173,0.6527196652719666,0.8663426488456865,0.7655855855855855,0.8557197110276211
non-interferent [B=40],0,0.4589204674597058,0.22521137586471945,0.608786610878661,0.8712029161603888,0.7477422450161304,0.854001331997946
