Model,Budget,Log Loss,Binary Err Rate,Specificity,Precision,Recall,Npv,F1,Roc Auc
Baseline [GBDT],0,0.3000810440798226,0.1378662244333886,0.9358523725834798,0.7627302275189599,0.6350924672981506,0.8876232810112515,0.6930839281319221,0.9167280036909231
Adversarial-Boosting [b=5],0,0.317256819645165,0.14416804864566057,0.9660222612770943,0.831517792302106,0.5164636896707262,0.8601982263954095,0.6371730662214802,0.9131988291994095
Adversarial-Boosting [b=15],0,0.31817121199170056,0.14461028192371475,0.9679261862917399,0.8374164810690423,0.5087956698240866,0.8585346843335931,0.632996632996633,0.9134666378115107
Adversarial-Boosting [b=150],0,0.31868451404971077,0.14483139856274185,0.9682190978324546,0.8381804623415362,0.5069914298601714,0.8581256490134995,0.6318156267566049,0.9132533289786359
Adversarial-Boosting [b=300],0,0.3183768446906493,0.1444997236042012,0.9690978324545987,0.8415915915915916,0.505638249887235,0.8579022429664204,0.6317272471118626,0.9136923659880156
Non-Interferent [b=5],0,0.288308589902078,0.13443891652846876,0.93306971294669,0.7613577023498694,0.6576454668470907,0.8935483870967742,0.7057115198451114,0.9231305056337579
Non-Interferent [b=15],0,0.2881717852463753,0.13333333333333333,0.9339484475688342,0.7642446419236801,0.6594497068110059,0.8941390914189569,0.7079903147699759,0.9231525367566329
Non-Interferent [b=150],0,0.28787687528063377,0.1330016583747927,0.9336555360281195,0.7640625,0.6617050067658998,0.8947368421052632,0.7092095721537345,0.9233543510906167
Non-Interferent [b=300],0,0.2882082395932557,0.13311221669430626,0.9332161687170475,0.7631168831168831,0.6626071267478575,0.8949438202247191,0.7093191694833413,0.9233546483621397
Baseline [GBDT],5,0.3305212027791872,0.15555555555555556,0.9124194493263035,0.7018943170488534,0.6350924672981506,,0.6668245323229931,0.8976655993958386
Adversarial-Boosting [b=5],5,0.3200840853052858,0.14516307352128247,0.9647041593438781,0.8261183261183261,0.5164636896707262,,0.6355814598945323,0.9105352763528565
