Model,N. of Trees,Binary Logloss,Binary Err Rate,Roc Auc,Binary Logloss Under Max Attack,Binary Err Rate Under Max Attack,Roc Auc Under Max Attack
Non-Interferent,0,0.3165522275728066,0.14409030544488713,0.9101761039208223,0.32839920420629903,0.15258964143426296,0.9014356680624286
Non-Interferent,10,0.49500833552048035,0.2054448871181939,0.8945488675295014,0.49753161908964894,0.20690571049136786,0.8837955962124097
Non-Interferent,20,0.4256876574996642,0.16314741035856573,0.8983581437952036,0.4291090913277773,0.16567065073041168,0.8895880400647126
Non-Interferent,30,0.3783571453555663,0.14893758300132803,0.9027457056528359,0.3837060030784726,0.15378486055776894,0.8947562928245147
Non-Interferent,40,0.350404640162743,0.14907038512616202,0.9044647411496004,0.3571405249412851,0.15099601593625497,0.8963448800913589
Non-Interferent,50,0.3359567951857492,0.14780876494023903,0.9063217667491436,0.34442596089931665,0.15258964143426296,0.8978898101446516
Non-Interferent,60,0.3267398672652196,0.14628154050464806,0.907672523315569,0.3356094221555943,0.15166002656042496,0.8997768842786448
Non-Interferent,70,0.3203582017123278,0.1451527224435591,0.9089392724590788,0.33126238738789604,0.15239043824701196,0.9003204225352113
Non-Interferent,80,0.3165522275728066,0.14409030544488713,0.9101761039208223,0.32839920420629903,0.15258964143426296,0.9014356680624286
Non-Interferent,90,0.3165522275728066,0.14409030544488713,0.9101761039208223,0.32839920420629903,0.15258964143426296,0.9014356680624286
Non-Interferent,100,0.3165522275728066,0.14409030544488713,0.9101761039208223,0.32839920420629903,0.15258964143426296,0.9014356680624286
Non-Interferent,110,0.3165522275728066,0.14409030544488713,0.9101761039208223,0.32839920420629903,0.15258964143426296,0.9014356680624286
Non-Interferent,120,0.3165522275728066,0.14409030544488713,0.9101761039208223,0.32839920420629903,0.15258964143426296,0.9014356680624286
Non-Interferent,130,0.3165522275728066,0.14409030544488713,0.9101761039208223,0.32839920420629903,0.15258964143426296,0.9014356680624286
Non-Interferent,140,0.3165522275728066,0.14409030544488713,0.9101761039208223,0.32839920420629903,0.15258964143426296,0.9014356680624286
Non-Interferent,150,0.3165522275728066,0.14409030544488713,0.9101761039208223,0.32839920420629903,0.15258964143426296,0.9014356680624286
Non-Interferent,160,0.3165522275728066,0.14409030544488713,0.9101761039208223,0.32839920420629903,0.15258964143426296,0.9014356680624286
Non-Interferent,170,0.3165522275728066,0.14409030544488713,0.9101761039208223,0.32839920420629903,0.15258964143426296,0.9014356680624286
Non-Interferent,180,0.3165522275728066,0.14409030544488713,0.9101761039208223,0.32839920420629903,0.15258964143426296,0.9014356680624286
Non-Interferent,190,0.3165522275728066,0.14409030544488713,0.9101761039208223,0.32839920420629903,0.15258964143426296,0.9014356680624286
Non-Interferent,200,0.3165522275728066,0.14409030544488713,0.9101761039208223,0.32839920420629903,0.15258964143426296,0.9014356680624286
Baseline (p=1.0; n=1),0,0.31987701630387383,0.149136786188579,0.9049200965930719,0.3429851584780228,0.16261620185922976,0.8885094689760182
Baseline (p=1.0; n=1),10,0.4247362063583075,0.20849933598937584,0.8274894128283213,0.4275147037561155,0.2147410358565737,0.8247306575942139
Baseline (p=1.0; n=1),20,0.38333313122029433,0.1857901726427623,0.8674944803958888,0.39466280328675196,0.1895750332005312,0.8576779715454891
Baseline (p=1.0; n=1),30,0.38479198698464684,0.18678618857901727,0.8828112866387513,0.4096405689024891,0.20086321381142097,0.8650132993909402
Baseline (p=1.0; n=1),40,0.3417886829762522,0.15996015936254981,0.8936696445565283,0.3611640755267455,0.1700531208499336,0.8784697968214694
Baseline (p=1.0; n=1),50,0.32847113512637494,0.15371845949535193,0.9001654691663494,0.3502454611382361,0.16633466135458166,0.8837355586220023
Baseline (p=1.0; n=1),60,0.322386065910987,0.150265604249668,0.903695600970689,0.34480655287084594,0.16420982735723771,0.8874662756947087
Baseline (p=1.0; n=1),70,0.31987701630387383,0.149136786188579,0.9049200965930719,0.3429851584780228,0.16261620185922976,0.8885094689760182
Baseline (p=1.0; n=1),80,0.31987701630387383,0.149136786188579,0.9049200965930719,0.3429851584780228,0.16261620185922976,0.8885094689760182
Baseline (p=1.0; n=1),90,0.31987701630387383,0.149136786188579,0.9049200965930719,0.3429851584780228,0.16261620185922976,0.8885094689760182
Baseline (p=1.0; n=1),100,0.31987701630387383,0.149136786188579,0.9049200965930719,0.3429851584780228,0.16261620185922976,0.8885094689760182
Baseline (p=1.0; n=1),110,0.31987701630387383,0.149136786188579,0.9049200965930719,0.3429851584780228,0.16261620185922976,0.8885094689760182
